"sex","age","nationality","type","uniform","food","books","help","computer","activities"
0,9,"1","2",406,1500,675,0,600,400
1,14,"3","1",100,920,250,0,450,450
0,12,"1","2",600,1190,470,1,500,510
0,9,"1","2",300,1200,270,1,200,400
1,10,"1","1",20,710,0,0,160,40
0,12,"1","2",88,280,50,0,250,500
1,7,"2","1",35,0,165,1,500,140
1,12,"1","1",80,1050,75,0,800,560
0,9,"1","1",200,80,150,0,1200,224
1,8,"1","2",300,640,42,0,1200,400
1,7,"1","1",40,860,96,0,600,351
0,16,"1","1",100,972,440,0,200,0
1,9,"1","1",50,860,200,0,300,468
0,14,"1","1",40,0,84,1,250,990
1,11,"1","1",60,405,436,0,300,360
1,8,"1","1",60,405,20,0,150,270
1,13,"1","2",350,1088,120,0,700,630
1,4,"1","1",140,1000,102,0,61,240
0,11,"1","1",51,0,0,1,500,630
1,8,"1","2",250,1650,300,0,120,450
0,9,"1","1",50,1040,100,0,1150,820
0,6,"2","1",50,1200,115,1,500,360
1,4,"1","2",580,1400,420,0,600,560
1,9,"1","1",70,0,175,1,195,891
0,13,"1","2",300,860,150,1,199,290
1,6,"1","2",80,900,80,0,45,180
0,10,"1","2",200,405,20,1,100,0
1,9,"1","2",600,1188,660,0,400,198
0,12,"1","1",40,1000,125,0,150,640
1,10,"1","1",60,450,50,1,150,225
1,10,"1","1",60,450,50,1,150,225
1,9,"1","2",150,1300,190,1,100,180
0,9,"1","2",150,1300,80,1,150,225
1,10,"1","1",65,1200,75,0,25,270
1,7,"1","2",250,960,200,0,150,224
0,5,"1","2",150,960,100,0,75,224
1,7,"1","1",30,1200,0,0,15,315
0,4,"1","1",15,1100,60,0,80,192
0,10,"1","2",105,1035,50,0,350,200
0,11,"1","2",100,1057,80,0,350,342
1,13,"1","3",100,2500,500,0,705,600
0,10,"3","2",100,1500,150,0,60,200
1,8,"3","2",150,1500,250,0,250,450
1,6,"3","2",150,1500,70,0,75,225
1,6,"1","1",170,972,0,1,75,396
1,15,"1","1",60,2050,100,0,800,450
1,10,"1","1",150,800,20,0,300,82
0,7,"1","1",200,2050,22,0,750,500
1,7,"1","1",200,2050,22,1,100,500
0,7,"1","2",163,1170,0,0,45,270
0,5,"1","2",166,1170,0,0,80,270
1,10,"1","1",60,1000,175,0,200,260
1,7,"1","2",200,1250,282,0,199,408
0,10,"3","1",101,800,112,0,400,160
0,11,"1","1",100,1200,161,0,150,400
1,11,"1","2",180,1152,515,0,435,500
0,7,"1","2",270,1192,30,1,200,640
0,11,"1","2",150,1600,250,0,400,450
1,14,"1","3",400,2000,480,0,350,1600
1,9,"1","2",280,1470,230,0,600,810
1,11,"1","2",300,1470,147,0,380,640
1,12,"1","1",100,880,0,1,750,297
1,9,"1","2",170,1270,103,1,225,360
0,8,"1","1",100,928,45,1,75,584
0,6,"1","1",60,928,50,0,75,160
1,9,"1","3",182,1770,304,0,61,630
1,14,"1","2",500,1300,400,0,1100,1000
0,9,"1","2",110,1600,345,0,500,200
1,6,"1","2",110,1600,180,0,200,550
1,4,"1","2",46,1224,112,0,100,333
0,10,"1","1",150,1200,180,0,300,280
1,7,"1","1",150,1200,180,0,150,320
0,12,"1","1",80,0,63,0,120,120
1,53,"2","1",100,80,69,0,200,0
1,6,"1","1",150,1050,20,0,300,570
0,11,"3","1",35,880,30,0,450,18
1,11,"1","2",120,560,325,1,225,405
0,7,"1","1",50,950,60,1,800,1008
0,9,"1","1",100,900,140,1,300,531
1,8,"1","1",50,930,80,0,15,198
1,9,"1","2",190,1480,294,0,865,352
1,13,"1","3",220,2150,100,0,650,600
1,10,"1","2",120,1260,340,0,435,747
0,10,"1","1",110,900,120,0,160,147
1,6,"1","2",140,1400,363,0,300,360
0,6,"1","2",150,1400,363,0,500,360
0,8,"1","2",22,72,33,0,60,234
1,9,"1","2",100,1520,321,0,200,630
0,12,"1","2",250,1160,350,1,450,432
1,10,"1","1",158,1220,50,0,160,225
0,10,"1","1",261,1220,50,0,160,32
1,14,"1","2",80,340,248,0,500,640
1,10,"1","2",200,2520,350,0,500,280
0,5,"1","1",20,1000,90,0,20,624
1,14,"1","2",300,1170,200,1,50,810
1,10,"1","2",450,680,580,0,1000,603
1,10,"1","2",40,400,60,1,300,376
1,8,"1","2",40,376,60,1,350,376
0,10,"1","2",100,1280,50,1,60,0
1,10,"1","1",70,1100,150,0,15,90
1,7,"1","1",70,1100,210,0,15,90
1,13,"1","1",150,216,330,0,30,430
1,8,"1","2",250,1377,300,0,130,450
1,7,"1","2",200,1750,300,0,1000,1350
0,5,"1","2",150,1750,200,0,860,1260
1,6,"1","1",48,882,140,1,500,144
1,12,"1","1",50,1100,30,0,593,664
1,9,"1","1",50,1100,50,0,350,330
0,11,"1","2",100,1250,490,0,705,405
0,11,"1","3",433,1890,504,0,1200,850
1,11,"1","3",429,1890,504,0,500,850
0,15,"1","1",70,570,30,1,80,0
0,9,"1","1",50,570,0,1,20,230
1,13,"2","3",200,1440,249,0,650,352
1,6,"2","3",80,1300,180,0,500,400
0,9,"1","2",600,1200,60,0,220,700
0,10,"1","2",250,1370,100,0,1150,770
1,9,"1","1",300,1370,100,0,400,770
1,8,"1","2",400,1570,40,0,130,0
1,10,"1","2",250,1100,0,0,350,40
1,11,"1","1",30,0,30,1,150,500
1,12,"1","3",100,1400,400,0,180,120
0,9,"1","3",100,1400,335,0,75,120
0,13,"3","2",150,1100,320,0,80,300
0,8,"1","1",70,240,240,0,80,0
0,14,"1","2",100,930,250,0,580,160
1,17,"1","2",100,2000,500,0,580,160
1,8,"1","2",560,600,423,1,380,400
1,4,"1","2",450,1600,125,0,200,250
1,11,"1","2",90,1500,236,0,550,306
0,12,"1","2",55,963,115,1,34,750
1,4,"1","2",200,1230,230,0,45,120
0,8,"1","2",150,600,300,0,500,350
0,11,"1","1",40,0,50,1,185,225
0,18,"2","1",20,0,1040,0,600,400
0,10,"1","2",140,1430,42,0,500,216
0,7,"1","1",15,1080,50,0,450,0
1,10,"1","1",60,900,30,0,20,0
1,10,"1","2",400,1300,95,0,860,400
1,8,"1","2",200,1250,80,0,160,160
1,10,"1","1",80,1215,250,1,100,560
1,14,"1","2",50,0,220,1,300,500
1,10,"1","1",40,540,90,0,250,105
1,8,"1","1",30,960,150,0,200,320
0,11,"1","2",160,1080,420,0,61,270
1,6,"1","2",160,1080,300,0,200,270
1,13,"1","1",100,990,290,0,1200,216
0,9,"1","1",100,5,270,1,20,200
1,16,"1","2",60,860,231,1,1160,250
1,14,"1","2",473,1390,379,0,350,540
1,10,"3","2",480,1390,365,1,600,414
1,13,"1","1",120,0,140,1,1800,1600
1,8,"1","2",450,872,480,0,100,360
0,11,"1","2",433,783,410,1,150,0
0,9,"1","1",50,240,120,0,25,180
0,7,"1","1",100,0,115,1,500,440
1,10,"1","1",100,0,230,1,1000,1400
0,14,"1","2",20,1400,200,0,800,1280
1,7,"1","1",140,664,275,0,1200,336
0,14,"1","2",295,1480,265,0,1200,90
0,10,"1","2",261,1480,350,0,240,350
1,9,"1","1",135,470,200,0,20,96
0,17,"1","1",30,200,300,1,200,180
1,15,"1","1",100,495,60,0,99,0
1,10,"1","1",100,440,340,0,1200,200
0,8,"1","2",200,680,190,0,240,855
0,11,"1","1",200,0,100,1,200,510
0,8,"1","2",150,1370,260,1,180,380
0,7,"1","1",30,800,0,1,185,200
1,11,"1","2",150,225,280,1,400,792
1,13,"1","2",150,1350,210,1,120,450
0,10,"1","2",125,1350,195,1,1300,780
0,12,"1","2",393,10,250,0,70,9
0,6,"1","2",300,1260,350,0,80,225
1,10,"1","1",149,684,208,0,450,270
0,8,"1","1",149,684,169,0,200,270
0,12,"3","1",35,114,160,0,220,0
0,7,"1","1",200,540,200,0,650,640
0,10,"1","2",200,1400,313,0,145,488
0,9,"1","3",200,1300,488,0,250,970
0,13,"1","2",100,920,170,0,80,270
0,10,"1","1",50,666,150,0,15,54
1,16,"1","1",60,950,28,1,705,32
1,15,"1","1",60,990,344,0,600,600
1,16,"1","2",220,1100,50,0,1150,448
1,8,"1","1",41,600,7,0,200,510
1,17,"1","1",50,712,0,1,450,198
1,6,"1","1",92,405,35,0,200,270
1,10,"1","1",200,360,295,0,350,96
1,7,"1","1",30,600,97,0,75,182
1,16,"1","2",250,240,235,0,500,180
1,10,"1","2",100,1200,195,1,80,100
1,13,"1","1",30,1192,130,0,100,900
0,3,"1","1",100,216,100,0,45,270
1,12,"1","1",200,720,60,1,589,189
1,9,"1","1",150,712,128,1,250,810
1,13,"1","2",80,1100,190,0,120,360
0,17,"1","3",50,1500,90,1,30,1000
0,7,"3","1",350,60,268,0,150,200
1,14,"3","2",120,1152,25,0,200,32
0,9,"1","1",100,400,100,0,100,18
0,11,"1","2",225,2000,65,0,300,0
0,18,"1","3",180,720,520,0,600,1350
1,13,"1","3",180,720,300,0,25,520
0,6,"1","1",45,800,50,1,45,450
1,7,"1","2",60,1500,180,0,350,40
1,9,"1","2",300,1224,400,0,600,630
0,10,"1","2",90,930,500,0,1000,306
0,17,"2","1",350,0,230,0,500,250
1,12,"1","2",100,1125,60,0,100,320
1,5,"1","2",100,0,0,0,45,0
0,6,"2","1",120,0,150,1,589,200
1,5,"2","1",120,0,80,1,500,200
1,9,"1","1",80,1000,137,0,200,580
1,13,"1","2",200,1350,230,1,150,312
0,7,"1","1",100,1800,300,0,199,300
0,8,"1","1",300,930,40,0,800,472
1,5,"1","1",250,930,30,0,45,160
1,15,"1","1",30,1500,250,0,865,180
0,7,"1","2",230,280,200,0,150,240
0,7,"1","2",230,280,200,0,120,300
1,10,"1","1",25,270,65,0,878,280
1,7,"1","1",12,270,140,1,1100,280
0,10,"1","2",182,400,51,0,320,240
1,12,"1","1",60,800,45,0,1160,200
0,7,"1","3",140,500,200,0,450,500
0,9,"1","3",50,1340,336,0,400,448
1,12,"1","1",300,240,500,0,800,250
0,7,"1","2",200,1080,300,0,20,200
1,9,"1","1",70,700,75,0,34,200
1,10,"1","2",60,920,92,0,160,256
0,10,"1","2",60,920,91,0,120,256
1,10,"1","2",200,1500,50,0,1200,280
0,5,"1","2",200,540,200,1,60,270
1,5,"1","1",20,333,136,1,120,270
1,9,"1","1",65,80,115,1,1100,189
0,11,"1","1",20,900,30,0,195,800
1,11,"1","1",100,180,0,1,200,270
0,10,"1","1",100,180,0,1,15,270
1,9,"1","1",80,0,305,1,593,1100
0,14,"1","2",100,1400,380,0,650,850
1,16,"1","1",150,360,650,0,195,20
1,9,"1","1",104,810,156,0,650,430
1,7,"1","2",125,1980,259,0,200,200
0,11,"1","2",300,640,350,0,1200,504
1,10,"1","2",100,990,349,0,1200,450
0,8,"1","2",100,990,150,1,500,540
1,12,"1","2",100,1380,300,1,34,300
1,12,"1","2",80,1287,60,0,250,500
1,8,"1","2",50,1287,110,0,220,1050
0,11,"1","1",35,900,20,0,80,180
0,11,"1","1",250,900,20,0,80,180
1,8,"1","2",50,1100,218,1,30,531
1,7,"1","1",200,1044,35,1,800,540
0,7,"1","2",40,360,340,1,25,270
0,12,"1","2",40,1380,111,0,45,630
0,10,"1","2",20,1380,205,0,455,630
1,9,"1","2",200,1000,53,0,1200,450
0,12,"1","2",40,720,20,0,300,240
1,13,"1","3",200,1000,120,0,180,440
1,7,"1","2",60,850,150,1,400,180
1,12,"1","1",33,800,50,0,1200,152
0,5,"1","2",50,900,60,1,400,800
0,8,"1","1",100,69,40,0,150,765
1,12,"1","2",200,1377,160,0,860,800
0,7,"1","1",200,850,170,0,200,600
0,5,"1","2",210,1360,214,1,240,1100
1,9,"1","1",50,860,100,0,250,280
0,9,"1","2",50,1300,130,0,500,350
0,9,"1","2",50,1300,130,0,15,350
0,11,"1","2",170,0,450,1,200,500
0,6,"1","2",230,1200,300,0,250,380
1,8,"1","1",40,860,106,0,30,336
0,5,"1","1",10,860,80,0,185,160
1,15,"1","1",40,440,135,0,75,0
0,13,"2","1",50,0,210,1,878,250
0,8,"1","1",50,890,30,0,150,900
0,13,"1","1",35,0,116,0,10,0
0,12,"1","3",100,1200,380,0,450,400
1,11,"1","2",95,1152,252,0,200,352
0,6,"1","2",450,1370,190,0,150,252
0,17,"1","1",150,0,300,1,1200,0
1,13,"1","2",95,240,200,0,450,360
1,8,"1","2",250,1260,331,0,1150,558
1,4,"1","2",250,1400,110,0,589,632
0,9,"1","2",205,1062,449,0,600,1170
0,6,"1","2",50,990,150,0,500,603
0,11,"1","2",350,1300,300,0,150,300
1,4,"1","2",50,1040,216,0,20,320
1,6,"1","2",90,1250,285,0,100,960
1,11,"1","2",300,1280,196,0,650,200
1,10,"1","2",100,1400,230,0,1000,250
0,13,"1","1",42,900,110,0,400,0
0,13,"1","2",178,880,260,1,34,180
0,12,"1","2",120,1000,450,0,200,225
1,18,"1","1",53,1100,200,0,1300,0
